user_ID=1019111804397420637 HWID=BFEBFBFF000906ED Data=9998/12/10
user_ID=1141686484701810728 HWID=BFEBFBFF000806C1 Data=2024/08/16
user_ID=1073662015526162482 HWID=BFEBFBFF000306A9 Data=2024/08/16
user_ID=1127635624233549916 HWID=BFEBFBFF000306C3 Data=2024/08/16
user_ID=679744602323812387 HWID=BFEBFBFF000306F2 Data=2024/08/16
user_ID=1197540444205240472 HWID=BFEBFBFF000306C3 Data=2024/08/16
user_ID=436228930572386314 HWID=BFEBFBFF000206A7 Data=2024/08/16
user_ID=735657496181473292 HWID=178BFBFF00860F01 Data=2024/08/16
user_ID=469225062151487488 HWID=BFEBFBFF000A0653 Data=2024/08/16
user_ID=944035163095060500 HWID=BFEBFBFF000806D1 Data=2024/08/16
user_ID=993962741729591376 HWID=BFEBFBFF000B06E0 Data=2024/08/16
user_ID=1118990158277128242 HWID=BFEBFBFF00090675 Data=2024/08/16
user_ID=1218913708835737712 HWID=178BFBFF00A20F12 Data=2024/08/16
user_ID=1017925300178407485 HWID=BFEBFBFF000206A7 Data=2024/08/16
user_ID=858363575529897994 HWID=BFEBFBFF000806EC Data=2024/08/16
user_ID=1242675289629265952 HWID=178BFBFF00A50F00 Data=2024/08/16
user_ID=813165022926077973 HWID=178BFBFF00A50F00 Data=2024/08/16
user_ID=735292799846711386 HWID=178BFBFF00800F11 Data=2024/08/16
user_ID=1083561064739905617 HWID=178BFBFF00810F81 Data=2024/08/16
user_ID=1239797317347835926 HWID=178BFBFF00810F81 Data=2024/08/16
user_ID=594254647842177034 HWID=BFEBFBFF000306A9 Data=2024/08/16
user_ID=1264093226726330398 HWID=178BFBFF00860F01 Data=2024/08/16
user_ID=1137818983987429506 HWID=BFEBFBFF000306C3 Data=2024/08/16
user_ID=865568607064162304 HWID=178BFBFF00A50F00 Data=2024/08/16
user_ID=1265050881280184412 HWID=BFEBFBFF000A0653 Data=2024/08/16
user_ID=1180864283320524842 HWID=178BFBFF00A20F10 Data=2024/08/16
user_ID=613059269121540134 HWID=178BFBFF00A50F00 Data=2024/08/16
user_ID=915748968149958736 HWID=BFEBFBFF000206A7 Data=2024/08/16
user_ID=936709538135031849 HWID=BFEBFBFF000306C3 Data=2024/08/16
user_ID=914604054187999262 HWID=178BFBFF00A50F00 Data=2024/08/16
user_ID=1211419106528469043 HWID=178BFBFF00610F01 Data=2024/08/16
user_ID=1257051164256501773 HWID=178BFBFF00810F81 Data=2024/08/16
user_ID=912045803500085278 HWID=178BFBFF00810F81 Data=2024/08/16
user_ID=1223035666850512977 HWID=BFEBFBFF000406F1 Data=2024/08/16
user_ID=664799178467311626 HWID=178BFBFF00A50F00 Data=2024/08/18
user_ID=1013894622197579886 HWID=178BFBFF00A50F00 Data=2024/08/18
user_ID=1167899335745343529 HWID=178BFBFF00870F10 Data=2024/08/18
user_ID=823705526265053195 HWID=BFEBFBFF000306F2 Data=2024/08/18
user_ID=1244673122427207680 HWID=BFEBFBFF000306A9 Data=2024/08/18
user_ID=1056521259673976902 HWID=BFEBFBFF000206A7 Data=2024/08/18
user_ID=1257051164256501773 HWID=178BFBFF00810F81 Data=2024/08/18
user_ID=823705526265053195 HWID=BFEBFBFF000306F2 Data=2024/08/20
user_ID=987887510325714974 HWID=BFEBFBFF000306A9 Data=2024/08/20
user_ID=722853241658015774 HWID=BFEBFBFF000306A9 Data=2024/08/20
user_ID=1192250398489186455 HWID=BFEBFBFF000A0652 Data=2024/08/20
user_ID=1265839085357109279 HWID=178BFBFF00870F10 Data=2024/08/21
user_ID=1261889377651396628 HWID=BFEBFBFF000306A9 Data=2024/08/21
user_ID=1153862839883272232 HWID=BFEBFBFF000306A9 Data=2024/08/21
user_ID=1128422480474816562 HWID=BFEBFBFF000206A7 Data=2024/08/21
user_ID=1235685956137390113 HWID=BFEBFBFF000806EC Data=2024/08/21
user_ID=1069282832066813952 HWID=BFEBFBFF000306E4 Data=2024/08/23
user_ID=1153862839883272232 HWID=BFEBFBFF000306A9 Data=2024/08/23
user_ID=1235685956137390113 HWID=BFEBFBFF000306A9 Data=2024/08/23
user_ID=1137209995436494928 HWID=178BFBFF00860F01 Data=2024/08/23
user_ID=858065353094332437 HWID=BFEBFBFF000306C3 Data=2024/08/23
user_ID=1227288186225426504 HWID=178BFBFF00A50F00 Data=2024/08/23
user_ID=719988501202075688 HWID=178BFBFF00A50F00 Data=2024/08/23
user_ID=918315821418315816 HWID=BFEBFBFF000A0653 Data=2024/08/23
user_ID=738531453624647680 HWID=178BFBFF00A50F00 Data=2024/08/23
user_ID=641287173001183253 HWID=178BFBFF00A20F12 Data=2024/08/23
user_ID=1087781551842013245 HWID=178BFBFF00A50F00 Data=2024/09/16
